,TweetID,CreationTime,Followers,Followed,GeoTagged,TotalTweets,TwitterAge,nHashTags,nMentions,nUrls,Verified,Label,nRetweets,nLikes,DeltaSeconds
33,451187669302009857,Wed Apr 02 02:41:37 +0000 2014,158,201,False,15626,1665,2,2,0,False,other_useful_information,148,0,12
34,451187669851467777,Wed Apr 02 02:41:37 +0000 2014,557,1960,False,67628,3131,2,0,1,False,infrastructure_and_utilities_damage,0,0,12
35,451187671235584000,Wed Apr 02 02:41:38 +0000 2014,13954,85,False,23673,3256,4,1,0,True,injured_or_dead_people,28,0,13
36,451187671235584001,Wed Apr 02 02:41:38 +0000 2014,374815,1073,True,112170,3538,4,1,0,True,other_useful_information,28,0,13
39,451187674385117185,Wed Apr 02 02:41:38 +0000 2014,6397,3798,True,28441,2841,2,1,1,True,other_useful_information,362,0,13
42,451187677992214528,Wed Apr 02 02:41:39 +0000 2014,340,215,False,3293,3115,2,2,1,False,other_useful_information,149,0,14
44,451187681817395200,Wed Apr 02 02:41:40 +0000 2014,6493,3504,True,435672,3742,1,1,0,False,caution_and_advice,9,0,15
45,451187682694406144,Wed Apr 02 02:41:40 +0000 2014,4813566,5341,True,61379,2561,2,0,0,True,other_useful_information,1,0,15
46,451187682824433664,Wed Apr 02 02:41:40 +0000 2014,483,1273,False,51729,3293,2,1,1,False,other_useful_information,362,0,15
47,451187684237910017,Wed Apr 02 02:41:41 +0000 2014,7534,5324,True,393048,3295,1,1,1,False,sympathy_and_emotional_support,281,0,16
48,451187685227765760,Wed Apr 02 02:41:41 +0000 2014,4628,1376,False,259901,3337,2,2,0,False,other_useful_information,148,0,16
50,451187686075039744,Wed Apr 02 02:41:41 +0000 2014,2456,511,False,84324,3261,2,1,0,False,sympathy_and_emotional_support,96,0,16
51,451187687660068864,Wed Apr 02 02:41:42 +0000 2014,102,214,True,2567,2124,2,2,1,False,other_useful_information,149,0,17
53,451187697910939648,Wed Apr 02 02:41:44 +0000 2014,497,585,True,5436,2787,2,1,1,False,injured_or_dead_people,44,0,19
54,451187697952907264,Wed Apr 02 02:41:44 +0000 2014,148,1,False,2224,3060,2,2,0,False,other_useful_information,148,0,19
55,451187698309406720,Wed Apr 02 02:41:44 +0000 2014,452,1416,False,7391,3006,1,1,0,False,sympathy_and_emotional_support,2,0,19
56,451187699374780416,Wed Apr 02 02:41:44 +0000 2014,347,292,True,24925,2403,2,2,0,False,sympathy_and_emotional_support,148,0,19
57,451187700436324352,Wed Apr 02 02:41:45 +0000 2014,4638,5082,True,37031,3512,1,1,1,False,sympathy_and_emotional_support,281,0,20
58,451187704454475776,Wed Apr 02 02:41:46 +0000 2014,59,289,True,3304,2474,3,1,0,False,other_useful_information,155,0,21
59,451187704928034816,Wed Apr 02 02:41:46 +0000 2014,536,718,True,8247,2369,1,1,1,False,other_useful_information,281,0,21
61,451187707856027648,Wed Apr 02 02:41:46 +0000 2014,392,387,True,13162,2423,2,2,0,False,caution_and_advice,148,0,21
63,451187710049652736,Wed Apr 02 02:41:47 +0000 2014,400,1958,True,1522,1720,1,0,0,False,sympathy_and_emotional_support,0,0,22
64,451187710623899648,Wed Apr 02 02:41:47 +0000 2014,162,343,False,61397,2897,3,2,1,False,caution_and_advice,227,0,22
65,451187710854967296,Wed Apr 02 02:41:47 +0000 2014,44,149,True,1204,1891,2,1,0,False,sympathy_and_emotional_support,172,0,22
66,451187712008003584,Wed Apr 02 02:41:47 +0000 2014,5255,5356,False,208024,2942,1,1,1,False,other_useful_information,239,0,22
68,451187717183795200,Wed Apr 02 02:41:49 +0000 2014,1701,3697,False,22910,3391,2,1,0,False,sympathy_and_emotional_support,0,0,24
70,451187718282698752,Wed Apr 02 02:41:49 +0000 2014,154,330,False,1308,1740,1,1,0,False,other_useful_information,37,0,24
71,451187719767474176,Wed Apr 02 02:41:49 +0000 2014,5196,1527,True,28804,3610,2,1,1,True,sympathy_and_emotional_support,362,0,24
72,451187722493779970,Wed Apr 02 02:41:50 +0000 2014,76894,11991,True,63674,3247,2,1,1,False,not_related_or_irrelevant,362,0,25
73,451187723089760256,Wed Apr 02 02:41:50 +0000 2014,215,271,True,12793,2635,1,1,0,False,caution_and_advice,129,0,25
74,451187723349786624,Wed Apr 02 02:41:50 +0000 2014,1290,813,False,40602,3286,1,1,0,False,other_useful_information,9,0,25
75,451187724863545344,Wed Apr 02 02:41:50 +0000 2014,985,245,False,5192,2871,2,2,1,False,caution_and_advice,149,0,25
76,451187725409218560,Wed Apr 02 02:41:51 +0000 2014,571,1093,True,12885,3299,1,1,1,False,other_useful_information,281,0,26
78,451187726017376256,Wed Apr 02 02:41:51 +0000 2014,1059,1006,True,24380,3053,1,1,0,False,other_useful_information,57,0,26
79,451187726151593984,Wed Apr 02 02:41:51 +0000 2014,67,153,False,4476,3153,1,1,1,False,other_useful_information,281,0,26
80,451187726402867200,Wed Apr 02 02:41:51 +0000 2014,556,1241,True,5478,2288,2,1,1,False,donation_needs_or_offers_or_volunteering_services,362,0,26
81,451187729167286273,Wed Apr 02 02:41:51 +0000 2014,6315,4273,True,161636,3482,1,1,1,False,caution_and_advice,281,0,26
84,451187729976397824,Wed Apr 02 02:41:52 +0000 2014,1572,1740,True,19284,2657,1,1,0,False,sympathy_and_emotional_support,0,0,27
85,451187731809697792,Wed Apr 02 02:41:52 +0000 2014,1350,1450,True,44104,3235,4,1,0,False,other_useful_information,1,0,27
87,451187734154326016,Wed Apr 02 02:41:53 +0000 2014,87,315,False,1632,2508,2,2,0,False,injured_or_dead_people,173,0,28
88,451187734452129792,Wed Apr 02 02:41:53 +0000 2014,2308,4385,True,306500,2855,2,1,1,False,other_useful_information,44,0,28
90,451187734720172032,Wed Apr 02 02:41:53 +0000 2014,1385,1576,False,104647,3455,2,2,0,False,other_useful_information,148,0,28
91,451187734736928768,Wed Apr 02 02:41:53 +0000 2014,2040,450,True,2651,3038,1,0,0,False,sympathy_and_emotional_support,0,4,28
95,451187739010936832,Wed Apr 02 02:41:54 +0000 2014,452,1416,False,7391,3006,2,0,0,False,other_useful_information,1,0,29
96,451187739547795456,Wed Apr 02 02:41:54 +0000 2014,5301,5395,True,385432,2687,2,1,0,False,other_useful_information,13,0,29
97,451187739980234752,Wed Apr 02 02:41:54 +0000 2014,116745,3201,True,328892,3481,1,1,0,True,displaced_people_and_evacuations,2,1,29
98,451187741238120448,Wed Apr 02 02:41:54 +0000 2014,421,946,True,10362,2495,2,2,1,False,other_useful_information,149,0,29
99,451187741326192640,Wed Apr 02 02:41:54 +0000 2014,22658,24837,True,341478,3487,1,1,1,False,sympathy_and_emotional_support,281,0,29
100,451187741754417153,Wed Apr 02 02:41:54 +0000 2014,417,874,True,2087,3194,1,0,0,False,sympathy_and_emotional_support,0,0,29
102,451187742668767234,Wed Apr 02 02:41:55 +0000 2014,8975,1374,True,12681,2637,2,0,0,False,other_useful_information,0,0,30
103,451187742857109504,Wed Apr 02 02:41:55 +0000 2014,82,671,True,3024,3386,2,2,0,False,other_useful_information,148,0,30
104,451187742911651840,Wed Apr 02 02:41:55 +0000 2014,345,340,False,617790,3365,1,1,0,False,injured_or_dead_people,217,0,30
108,451187745990656000,Wed Apr 02 02:41:56 +0000 2014,2285,2189,True,12500,2253,2,1,0,False,other_useful_information,20,0,31
109,451187748804648960,Wed Apr 02 02:41:56 +0000 2014,300,257,True,10427,2004,2,2,0,False,other_useful_information,148,0,31
110,451187749077663744,Wed Apr 02 02:41:56 +0000 2014,1307,1555,False,6626,3176,2,1,0,False,not_related_or_irrelevant,0,0,31
111,451187750213910528,Wed Apr 02 02:41:56 +0000 2014,549,1325,True,1249,3217,1,0,0,False,other_useful_information,1,0,31
112,451187750231093248,Wed Apr 02 02:41:57 +0000 2014,2171,2403,False,9874,3210,2,2,0,False,other_useful_information,148,0,32
113,451187750805323776,Wed Apr 02 02:41:57 +0000 2014,510,518,True,84641,3292,1,1,1,False,caution_and_advice,281,0,32
114,451187753904910336,Wed Apr 02 02:41:57 +0000 2014,353,792,True,1049,2050,2,0,0,False,sympathy_and_emotional_support,0,0,32
115,451187754198896640,Wed Apr 02 02:41:57 +0000 2014,56,201,True,305,2707,2,1,0,False,other_useful_information,172,0,32
116,451187754693443584,Wed Apr 02 02:41:58 +0000 2014,999,1992,False,212253,3209,2,1,1,False,not_related_or_irrelevant,362,0,33
117,451187755293233152,Wed Apr 02 02:41:58 +0000 2014,76,32,True,1316,2204,2,1,1,False,other_useful_information,362,0,33
118,451187756056584192,Wed Apr 02 02:41:58 +0000 2014,2581,1808,True,21299,2404,2,2,0,False,other_useful_information,148,0,33
119,451187756769611776,Wed Apr 02 02:41:58 +0000 2014,279,1227,True,8412,3216,1,1,0,False,other_useful_information,11,0,33
120,451187757524987904,Wed Apr 02 02:41:58 +0000 2014,116,86,False,6924,2210,3,1,0,False,sympathy_and_emotional_support,71,0,33
123,451187762259980288,Wed Apr 02 02:41:59 +0000 2014,1207,1006,True,83070,3085,2,1,1,False,injured_or_dead_people,44,0,34
124,451187762436116481,Wed Apr 02 02:41:59 +0000 2014,282,455,False,3936,2370,2,1,1,False,sympathy_and_emotional_support,362,0,34
125,451187762603900928,Wed Apr 02 02:41:59 +0000 2014,48,45,False,1235,1560,2,1,0,False,sympathy_and_emotional_support,89,0,34
126,451187763639885824,Wed Apr 02 02:42:00 +0000 2014,67,327,False,2732,2168,1,1,0,False,other_useful_information,68,0,35
127,451187764261040128,Wed Apr 02 02:42:00 +0000 2014,1082,421,False,139180,3344,3,1,0,False,sympathy_and_emotional_support,51,0,35
130,451187767964602368,Wed Apr 02 02:42:01 +0000 2014,14857,804,False,13315,3373,2,1,1,False,caution_and_advice,362,0,36
131,451187769478348800,Wed Apr 02 02:42:01 +0000 2014,1199,3738,True,16995,3183,2,2,0,False,other_useful_information,8,0,36
132,451187770493779968,Wed Apr 02 02:42:01 +0000 2014,3736,1054,True,39808,3380,1,1,0,True,injured_or_dead_people,0,0,36
133,451187770766020608,Wed Apr 02 02:42:01 +0000 2014,184,103,False,22094,2600,2,2,0,False,other_useful_information,148,0,36
135,451187772141744128,Wed Apr 02 02:42:02 +0000 2014,15944,4286,False,19336,3375,2,1,1,True,caution_and_advice,362,0,37
136,451187774310596609,Wed Apr 02 02:42:02 +0000 2014,17911,20590,False,490165,1730,3,2,0,False,other_useful_information,1,0,37
137,451187774557650944,Wed Apr 02 02:42:02 +0000 2014,4475,1518,False,347192,3162,1,0,1,False,sympathy_and_emotional_support,0,0,37
138,451187774771953664,Wed Apr 02 02:42:02 +0000 2014,3594,4775,False,40615,3359,3,2,0,False,sympathy_and_emotional_support,0,0,37
139,451187774977110016,Wed Apr 02 02:42:02 +0000 2014,3311,907,False,105335,2136,1,0,1,False,injured_or_dead_people,0,0,37
140,451187776763858944,Wed Apr 02 02:42:03 +0000 2014,13591,2406,True,41280,4334,2,2,0,False,caution_and_advice,47,0,38
141,451187780555522048,Wed Apr 02 02:42:04 +0000 2014,445,391,False,13413,1518,2,2,0,False,caution_and_advice,148,0,39
142,451187781172494336,Wed Apr 02 02:42:04 +0000 2014,186,637,False,8581,3408,1,1,1,False,injured_or_dead_people,281,0,39
143,451187785236742144,Wed Apr 02 02:42:05 +0000 2014,2079,1097,True,30085,2281,2,0,0,False,displaced_people_and_evacuations,1,2,40
144,451187785857114112,Wed Apr 02 02:42:05 +0000 2014,232,2010,True,5631,4027,2,2,0,False,not_related_or_irrelevant,24,0,40
145,451187786821816321,Wed Apr 02 02:42:05 +0000 2014,4564,962,False,2940209,3068,1,0,1,False,sympathy_and_emotional_support,0,0,40
146,451187787199311872,Wed Apr 02 02:42:05 +0000 2014,294,100,True,21162,2034,2,2,0,False,sympathy_and_emotional_support,148,0,40
147,451187787531055104,Wed Apr 02 02:42:05 +0000 2014,480,592,False,28886,1947,2,2,0,False,caution_and_advice,148,0,40
150,451187791939252225,Wed Apr 02 02:42:06 +0000 2014,1978,2052,True,74090,2959,1,1,1,False,caution_and_advice,281,0,41
153,451187797890973696,Wed Apr 02 02:42:08 +0000 2014,1810,504,True,29131,2326,2,2,0,False,sympathy_and_emotional_support,148,0,43
156,451187800902094848,Wed Apr 02 02:42:09 +0000 2014,20306,536,True,22996,3147,1,1,0,True,not_related_or_irrelevant,68,0,44
157,451187804001665024,Wed Apr 02 02:42:09 +0000 2014,1714,946,False,300847,3366,2,2,0,False,sympathy_and_emotional_support,148,0,44
158,451187804056592384,Wed Apr 02 02:42:09 +0000 2014,93,108,True,9600,2730,1,1,1,False,sympathy_and_emotional_support,281,0,44
160,451187806342086656,Wed Apr 02 02:42:10 +0000 2014,6493,3504,True,435672,3742,2,2,0,False,caution_and_advice,148,0,45
161,451187806509862912,Wed Apr 02 02:42:10 +0000 2014,3391,3224,True,341045,2282,2,2,0,False,not_related_or_irrelevant,3,0,45
162,451187806954479616,Wed Apr 02 02:42:10 +0000 2014,344,814,True,17121,3137,1,1,1,False,not_related_or_irrelevant,281,0,45
163,451187810079625216,Wed Apr 02 02:42:11 +0000 2014,381,350,True,23260,3389,1,1,0,False,not_related_or_irrelevant,2,0,46
164,451187810179899392,Wed Apr 02 02:42:11 +0000 2014,663,624,False,163560,2543,1,1,1,False,not_related_or_irrelevant,281,0,46
165,451187810771288064,Wed Apr 02 02:42:11 +0000 2014,1724,61,False,399,1998,2,2,1,False,not_related_or_irrelevant,149,0,46
166,451187811128209409,Wed Apr 02 02:42:11 +0000 2014,725,1395,True,18179,2365,2,2,0,False,caution_and_advice,148,0,46
168,451187814399373312,Wed Apr 02 02:42:12 +0000 2014,46,176,True,3258,1642,1,1,1,False,not_related_or_irrelevant,54,0,47
170,451187816299786241,Wed Apr 02 02:42:12 +0000 2014,506,414,True,19218,3277,2,2,0,False,caution_and_advice,148,0,47
172,451187818094944256,Wed Apr 02 02:42:13 +0000 2014,205,463,False,151492,2332,2,2,0,False,caution_and_advice,148,0,48
173,451187821483524096,Wed Apr 02 02:42:13 +0000 2014,2934,3668,False,17137,2441,2,1,1,False,sympathy_and_emotional_support,44,0,48
174,451187822243110912,Wed Apr 02 02:42:14 +0000 2014,6543,6117,False,226413,2571,3,0,0,False,other_useful_information,82,0,49
175,451187823354585088,Wed Apr 02 02:42:14 +0000 2014,186,637,False,8581,3408,2,1,1,False,other_useful_information,362,0,49
177,451187826626150400,Wed Apr 02 02:42:15 +0000 2014,208,905,False,5076,1548,2,1,0,False,not_related_or_irrelevant,401,0,50
180,451187830283202560,Wed Apr 02 02:42:16 +0000 2014,2876,79,False,12181,2962,2,1,1,False,other_useful_information,31,0,51
183,451187841004212224,Wed Apr 02 02:42:18 +0000 2014,841,2183,True,57697,3131,4,1,0,False,sympathy_and_emotional_support,28,0,53
184,451187842723479552,Wed Apr 02 02:42:19 +0000 2014,474,495,True,55124,3154,2,2,0,False,other_useful_information,148,0,54
185,451187845030756352,Wed Apr 02 02:42:19 +0000 2014,9745,8036,True,121437,3306,2,1,0,False,caution_and_advice,6,0,54
188,451187846934581248,Wed Apr 02 02:42:20 +0000 2014,1361,1812,True,21671,2896,2,1,1,False,sympathy_and_emotional_support,362,0,55
189,451187849384439808,Wed Apr 02 02:42:20 +0000 2014,987,1214,False,1553,2762,5,0,0,False,sympathy_and_emotional_support,0,0,55
190,451187850478768128,Wed Apr 02 02:42:20 +0000 2014,4415,330,True,4748,3194,2,1,1,False,other_useful_information,362,0,55
191,451187850818879489,Wed Apr 02 02:42:20 +0000 2014,57760,499,False,12332,2447,2,1,1,True,other_useful_information,362,0,55
192,451187852550746113,Wed Apr 02 02:42:21 +0000 2014,391,171,False,80882,2383,2,2,0,False,other_useful_information,148,0,56
194,451187854740185088,Wed Apr 02 02:42:21 +0000 2014,80,94,True,3648,1731,1,1,0,False,other_useful_information,68,0,56
197,451187861685948416,Wed Apr 02 02:42:23 +0000 2014,4475,1518,False,347192,3162,1,1,0,False,sympathy_and_emotional_support,34,0,58
198,451187865394094080,Wed Apr 02 02:42:24 +0000 2014,200,221,False,13035,2810,2,2,0,False,injured_or_dead_people,148,0,59
199,451187865418866688,Wed Apr 02 02:42:24 +0000 2014,1302,346,True,19970,2148,1,0,1,False,other_useful_information,1,0,59
202,451187866602053632,Wed Apr 02 02:42:24 +0000 2014,181,339,False,2883,2864,2,1,0,False,injured_or_dead_people,96,0,59
204,451187867058851840,Wed Apr 02 02:42:24 +0000 2014,251,410,True,17738,3085,1,0,0,False,other_useful_information,0,0,59
205,451187871425130497,Wed Apr 02 02:42:25 +0000 2014,968,560,True,97423,2676,1,1,1,False,caution_and_advice,281,0,60
206,451187873950097409,Wed Apr 02 02:42:26 +0000 2014,535,1911,True,4676,2655,3,0,0,False,caution_and_advice,9,6,61
207,451187875963760642,Wed Apr 02 02:42:26 +0000 2014,293,936,True,1502,2119,1,1,1,False,sympathy_and_emotional_support,281,0,61
208,451187875988897792,Wed Apr 02 02:42:26 +0000 2014,202,278,True,1353,2908,3,0,0,False,other_useful_information,4,0,61
209,451187877737922560,Wed Apr 02 02:42:27 +0000 2014,1231,2104,True,27694,2929,1,1,0,False,caution_and_advice,2,0,62
211,451187879180390400,Wed Apr 02 02:42:28 +0000 2014,1144,525,False,89571,1971,2,2,0,False,sympathy_and_emotional_support,148,0,63
212,451187879465603073,Wed Apr 02 02:42:27 +0000 2014,10,45,False,398,2872,2,1,1,False,sympathy_and_emotional_support,362,0,62
214,451187880962961408,Wed Apr 02 02:42:28 +0000 2014,58,160,False,208,1527,1,1,1,False,other_useful_information,128,0,63
215,451187881940246528,Wed Apr 02 02:42:28 +0000 2014,417,993,False,19889,2677,2,2,0,False,not_related_or_irrelevant,148,0,63
216,451187882288349184,Wed Apr 02 02:42:28 +0000 2014,331,198,True,28238,2061,1,1,1,False,sympathy_and_emotional_support,10,0,63
219,451187884486168576,Wed Apr 02 02:42:29 +0000 2014,1207,2056,True,50157,2997,1,1,1,False,other_useful_information,281,0,64
223,451187886566547456,Wed Apr 02 02:42:29 +0000 2014,400,1619,True,57956,2063,1,1,1,False,not_related_or_irrelevant,281,0,64
224,451187889750028289,Wed Apr 02 02:42:30 +0000 2014,850,1345,True,7450,2535,2,2,1,False,injured_or_dead_people,149,0,65
226,451187894032420864,Wed Apr 02 02:42:31 +0000 2014,4281,5002,False,110598,3515,3,2,0,False,other_useful_information,0,0,66
227,451187895034863616,Wed Apr 02 02:42:31 +0000 2014,6708,7377,True,45403,1649,2,1,1,False,not_related_or_irrelevant,362,0,66
229,451187896410570752,Wed Apr 02 02:42:31 +0000 2014,864,1114,True,190106,2106,2,1,0,False,not_related_or_irrelevant,13,0,66
230,451187896977211392,Wed Apr 02 02:42:31 +0000 2014,1574,1583,False,198307,3056,3,0,0,False,other_useful_information,0,1,66
232,451187901767110657,Wed Apr 02 02:42:33 +0000 2014,29,98,False,120,1549,2,1,1,False,not_related_or_irrelevant,2,0,68
233,451187902114844672,Wed Apr 02 02:42:33 +0000 2014,314,529,True,2707,3736,1,1,1,False,other_useful_information,155,0,68
235,451187903951933440,Wed Apr 02 02:42:33 +0000 2014,876,1909,False,16164,1775,3,1,0,False,not_related_or_irrelevant,155,0,68
236,451187906854793216,Wed Apr 02 02:42:34 +0000 2014,1612,1278,True,6844,3608,2,1,1,False,sympathy_and_emotional_support,1,0,69
237,451187907412230146,Wed Apr 02 02:42:34 +0000 2014,206,1927,True,373,2147,1,1,1,False,other_useful_information,1,0,69
238,451187907613949952,Wed Apr 02 02:42:34 +0000 2014,50960,3278,True,52201,3301,2,1,1,True,not_related_or_irrelevant,10,1,69
239,451187908876439552,Wed Apr 02 02:42:34 +0000 2014,179,83,False,332,2271,1,2,0,False,injured_or_dead_people,308,0,69
240,451187909203619841,Wed Apr 02 02:42:34 +0000 2014,4,17,False,8,2093,1,2,0,False,caution_and_advice,0,0,69
241,451187909358792704,Wed Apr 02 02:42:34 +0000 2014,274,802,True,1057,2571,1,0,0,False,injured_or_dead_people,0,0,69
242,451187909568520192,Wed Apr 02 02:42:34 +0000 2014,251,463,True,4614,2281,4,1,0,False,not_related_or_irrelevant,28,0,69
243,451187910964809729,Wed Apr 02 02:42:35 +0000 2014,132,276,True,4238,2633,2,2,1,False,not_related_or_irrelevant,149,0,70
244,451187912177385473,Wed Apr 02 02:42:35 +0000 2014,18578,2433,True,17220,3244,2,1,0,True,not_related_or_irrelevant,172,0,70
248,451187914794622976,Wed Apr 02 02:42:36 +0000 2014,219,452,True,9718,2249,1,1,1,False,sympathy_and_emotional_support,155,0,71
249,451187915859582977,Wed Apr 02 02:42:36 +0000 2014,1094,2246,False,39149,1523,2,2,0,False,injured_or_dead_people,148,0,71
250,451187918024212481,Wed Apr 02 02:42:36 +0000 2014,53,19,True,2644,2551,2,2,0,False,caution_and_advice,148,0,71
252,451187922583425024,Wed Apr 02 02:42:38 +0000 2014,661,2140,True,9392,2290,2,2,0,False,other_useful_information,90,0,73
253,451187923002880000,Wed Apr 02 02:42:38 +0000 2014,12429,8618,True,402482,2622,1,1,0,False,other_useful_information,0,0,73
255,451187926664495104,Wed Apr 02 02:42:39 +0000 2014,457,1554,True,41624,2943,4,1,0,False,sympathy_and_emotional_support,28,0,74
256,451187927142260737,Wed Apr 02 02:42:39 +0000 2014,991,4999,False,15494,3595,2,1,1,False,other_useful_information,362,0,74
258,451187930296360960,Wed Apr 02 02:42:39 +0000 2014,24,49,False,37,2593,2,1,1,False,infrastructure_and_utilities_damage,362,0,74
259,451187935082082305,Wed Apr 02 02:42:41 +0000 2014,9424,649,True,45455,2989,1,1,1,False,other_useful_information,281,0,76
260,451187935786704896,Wed Apr 02 02:42:41 +0000 2014,164,126,False,1212,3360,2,1,1,False,caution_and_advice,362,0,76
261,451187936177176576,Wed Apr 02 02:42:41 +0000 2014,924,21,False,4377,3009,1,1,1,False,other_useful_information,281,0,76
262,451187936298422272,Wed Apr 02 02:42:41 +0000 2014,83,562,True,747,2270,1,0,1,False,not_related_or_irrelevant,0,0,76
263,451187936726228993,Wed Apr 02 02:42:41 +0000 2014,770,420,True,9538,3264,1,0,0,False,caution_and_advice,1,0,76
264,451187937716494336,Wed Apr 02 02:42:41 +0000 2014,185,624,False,2375,1550,1,1,1,False,other_useful_information,281,0,76
266,451187945371074560,Wed Apr 02 02:42:43 +0000 2014,552,63,False,259823,2880,1,2,0,False,other_useful_information,2,0,78
267,451187945710845952,Wed Apr 02 02:42:43 +0000 2014,1162,340,True,12318,3334,2,1,1,False,caution_and_advice,44,0,78
270,451187949976428545,Wed Apr 02 02:42:44 +0000 2014,399,366,True,46534,1738,4,1,0,False,injured_or_dead_people,28,0,79
271,451187950869417984,Wed Apr 02 02:42:44 +0000 2014,2402,439,True,279869,2649,1,1,1,False,injured_or_dead_people,128,0,79
275,451187952740474881,Wed Apr 02 02:42:45 +0000 2014,543,829,False,107423,2274,1,1,1,False,other_useful_information,1,1,80
277,451187957399953409,Wed Apr 02 02:42:46 +0000 2014,206,1927,True,373,2147,3,1,0,False,caution_and_advice,29,0,81
278,451187957659992065,Wed Apr 02 02:42:46 +0000 2014,3307,1141,True,259474,2766,2,1,1,False,injured_or_dead_people,44,0,81
279,451187958641483776,Wed Apr 02 02:42:46 +0000 2014,708,222,True,62719,2647,1,1,1,False,caution_and_advice,360,0,81
281,451187962298908673,Wed Apr 02 02:42:47 +0000 2014,206,1927,True,373,2147,1,1,1,False,sympathy_and_emotional_support,63,0,82
282,451187963758534656,Wed Apr 02 02:42:47 +0000 2014,71,446,False,76,3150,2,1,1,False,sympathy_and_emotional_support,362,0,82
283,451187964216111104,Wed Apr 02 02:42:47 +0000 2014,3594,4775,False,40615,3359,3,2,0,False,sympathy_and_emotional_support,0,0,82
284,451187965411065857,Wed Apr 02 02:42:48 +0000 2014,387,402,False,12538,3337,2,1,1,False,caution_and_advice,362,0,83
285,451187966845935617,Wed Apr 02 02:42:48 +0000 2014,4443,934,True,9870,2668,4,1,0,True,displaced_people_and_evacuations,28,0,83
288,451187968485498881,Wed Apr 02 02:42:49 +0000 2014,311,492,True,16187,3411,1,1,0,False,other_useful_information,159,0,84
289,451187973590364160,Wed Apr 02 02:42:50 +0000 2014,1082,421,False,139180,3344,2,2,0,False,sympathy_and_emotional_support,24,0,85
292,451187979860836352,Wed Apr 02 02:42:51 +0000 2014,3567,3916,True,2992,2495,2,1,1,False,sympathy_and_emotional_support,362,0,86
293,451187985615052800,Wed Apr 02 02:42:53 +0000 2014,1094,2246,False,39149,1523,2,2,0,False,injured_or_dead_people,82,0,88
294,451187985665753088,Wed Apr 02 02:42:53 +0000 2014,279,481,False,79935,3362,1,1,1,False,caution_and_advice,281,0,88
295,451187985938403328,Wed Apr 02 02:42:53 +0000 2014,8,85,False,10,1955,1,0,0,False,not_related_or_irrelevant,0,0,88
